GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AJR001,AJV001,AJV002,AJX001,AJY001,AJY002,AJY003,AJY004,AJY005,AJZ001
"G0100010","1870","Alabama","010","Autauga","0010","Autauga",11623,1122059,58164,995114,393,475,2331,3735,32531,369056
"G0100015","1870","Alabama","010","Baker","0015","Baker",6194,284378,18885,349587,426,2515,964,22251,53483,237442
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin",6004,140550,2158,81210,0,65,0,0,0,124137
"G0100050","1870","Alabama","010","Barbour","0050","Barbour",29309,2374493,93722,3186725,0,0,12000,750,1380,669972
"G0100070","1870","Alabama","010","Bibb","0070","Bibb",7469,295110,22637,273777,225,4555,0,780,30598,147466
"G0100090","1870","Alabama","010","Blount","0090","Blount",9945,649291,14861,572045,3239,10,1850,64395,109300,435315
"G0100110","1870","Alabama","010","Bullock","0110","Bullock",24474,2468172,171925,2008451,10,100,0,15,325,715225
"G0100130","1870","Alabama","010","Butler","0130","Butler",14981,927827,13433,983066,2146,870,0,830,69170,363962
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun",13980,1324105,34848,713006,255,130,162,46699,93302,339112
"G0100170","1870","Alabama","010","Chambers","0170","Chambers",17562,1286665,36320,1258874,45,50,270,3891,111081,454123
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee",11132,1267036,65318,665213,2238,153,2052,39435,101569,371513
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw",12676,946850,48523,908562,1808,0,459,2110,67823,409209
"G0100250","1870","Alabama","010","Clarke","0250","Clarke",14663,156165,21175,840160,0,0,0,1270,65050,374706
"G0100270","1870","Alabama","010","Clay","0270","Clay",9560,453791,40752,593139,65,0,0,49820,79137,310795
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne",8017,497820,26372,460591,631,11,0,39707,78896,263116
"G0100310","1870","Alabama","010","Coffee","0310","Coffee",6171,308110,51876,511588,25,0,100,225,62961,214622
"G0100330","1870","Alabama","010","Colbert","0330","Colbert",12537,910627,42168,677646,30,430,381,1654,85680,306808
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh",9574,240795,8823,275675,1200,0,0,2344,30088,172132
"G0100370","1870","Alabama","010","Coosa","0370","Coosa",11945,610653,28454,1040736,0,0,731,69306,119843,472805
"G0100390","1870","Alabama","010","Covington","0390","Covington",4868,123443,5188,315418,0,0,400,8070,0,158667
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw",11156,684870,34571,970227,50,0,50,14601,113517,351618
"G0100450","1870","Alabama","010","Dale","0450","Dale",11325,437060,22293,832351,100,230,25,67174,133001,393579
"G0100470","1870","Alabama","010","Dallas","0470","Dallas",40705,3112373,89523,2753591,776,1579,8931,2738,60343,740737
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb",7126,534924,46477,404203,231,30,120,37225,109096,328799
"G0100510","1870","Alabama","010","Elmore","0510","Elmore",14477,924020,44111,1514157,720,0,620,7881,80314,440747
"G0100530","1870","Alabama","010","Escambia","0530","Escambia",4041,36999,3108,146195,250,400,0,4481,26546,147226
"G0100550","1870","Alabama","010","Etowah","0550","Etowah",10109,750420,37836,543142,108,213,0,24386,59034,249043
"G0100570","1870","Alabama","010","Fayette","0570","Fayette",7136,325385,17043,498094,25,0,60,33412,62159,313271
"G0100590","1870","Alabama","010","Franklin","0590","Franklin",8006,488593,29851,539049,229,781,393,331,79448,309542
"G0100610","1870","Alabama","010","Geneva","0610","Geneva",2959,125304,13532,261548,321,0,8456,20523,48912,148288
"G0100630","1870","Alabama","010","Greene","0630","Greene",18399,1560652,61455,1154762,0,100,100,155,54772,498944
"G0100650","1870","Alabama","010","Hale","0650","Hale",21792,2639207,107712,2029383,300,5,1335,1519,47566,702218
"G0100670","1870","Alabama","010","Henry","0670","Henry",14191,895419,91348,1061838,822,0,0,429,124662,474769
"G0100710","1870","Alabama","010","Jackson","0710","Jackson",19410,1510268,80042,1062130,688,348,16106,56582,213033,620263
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson",12345,1140247,54428,607967,893,185,672,33672,108809,430702
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale",15091,1405630,28805,849029,11,100,235,14630,69511,500471
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence",16658,1413284,97905,1359431,352,2375,595,15639,104235,689507
"G0100810","1870","Alabama","010","Lee","0810","Lee",21750,1405738,92146,1412750,1235,675,0,0,100415,472696
"G0100830","1870","Alabama","010","Limestone","0830","Limestone",15017,1816510,105064,1231157,587,133,0,10430,130830,562739
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes",25719,2271911,95833,2176738,260,100,2650,18457,53443,644753
"G0100870","1870","Alabama","010","Macon","0870","Macon",17727,1486811,44920,1281587,0,100,0,0,33636,415079
"G0100890","1870","Alabama","010","Madison","0890","Madison",31267,2194834,105344,1955501,865,10690,2117,8861,120667,704036
"G0100910","1870","Alabama","010","Marengo","0910","Marengo",26151,2819711,119873,3034675,445,0,150,0,13527,770674
"G0100930","1870","Alabama","010","Marion","0930","Marion",6059,80438,9648,149365,5,15,0,39523,48629,138122
"G0100950","1870","Alabama","010","Marshall","0950","Marshall",9871,692799,38289,611809,179,130,1290,47399,101628,390242
"G0100970","1870","Alabama","010","Mobile","0970","Mobile",49311,548730,43226,393777,6520,61380,4445,210,10431,228520
"G0100990","1870","Alabama","010","Monroe","0990","Monroe",14214,768867,22935,921752,0,0,2720,7588,68512,394212
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery",43704,3793895,140066,3403382,100,45842,0,2790,90153,833199
"G0101030","1870","Alabama","010","Morgan","1030","Morgan",12187,1183488,64833,837236,231,100,3306,2707,107250,453375
"G0101050","1870","Alabama","010","Perry","1050","Perry",24975,1455175,75653,1476555,75,0,0,0,0,491609
"G0101070","1870","Alabama","010","Pickens","1070","Pickens",17690,799785,61321,1078978,0,0,0,4211,84016,377557
"G0101090","1870","Alabama","010","Pike","1090","Pike",17423,1314779,34184,1284584,0,0,0,12690,175976,539227
"G0101110","1870","Alabama","010","Randolph","1110","Randolph",12006,620331,100663,718695,12,0,300,67028,119803,370810
"G0101130","1870","Alabama","010","Russell","1130","Russell",21636,1721442,98232,2236179,1245,3092,3594,0,35610,498304
"G0101150","1870","Alabama","010","St Clair","1150","St Clair",9360,401174,18162,391114,0,0,10,14943,16738,252095
"G0101155","1870","Alabama","010","Sanford","1155","Sanford",8893,304250,31918,643059,135,582,0,29513,64083,301749
"G0101170","1870","Alabama","010","Shelby","1170","Shelby",12218,516136,36450,692911,2082,300,548,32556,86668,311018
"G0101190","1870","Alabama","010","Sumter","1190","Sumter",24109,1684953,68844,1513982,250,40,0,887,57726,513788
"G0101210","1870","Alabama","010","Talladega","1210","Talladega",18064,940662,44857,1084387,32,0,70,5755,76834,400156
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa",16963,488967,17970,1055798,0,0,180,0,138673,406999
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa",20081,1105677,48061,1336815,0,202,2085,16020,86509,454982
"G0101270","1870","Alabama","010","Walker","1270","Walker",6543,296480,15469,292415,335,0,0,14739,52124,216724
"G0101290","1870","Alabama","010","Washington","1290","Washington",3912,155620,6465,160312,600,0,220,5210,6551,164741
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox",28377,2347868,73684,2550667,3645,545,2850,3894,52416,957754
"G0101330","1870","Alabama","010","Winston","1330","Winston",4155,149410,7172,298475,140,0,0,86437,50123,175028
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave",179,4100,1550,38275,0,1300,0,0,0,29700
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute",,43300,30050,136355,0,0,0,725,675,62405
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima",5716,151840,18055,209383,0,1550,0,0,9400,77496
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai",2142,0,0,0,0,0,0,0,0,0
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma",1621,5400,500,30340,0,0,0,0,0,36800
"G0500010","1870","Arkansas","050","Arkansas","0010","Arkansas",8268,965012,57850,967367,4360,190,0,50,34887,364094
"G0500030","1870","Arkansas","050","Ashley","0030","Ashley",8042,718592,50656,982419,1264,27,251,13390,50800,428654
"G0500070","1870","Arkansas","050","Benton","0070","Benton",13831,677035,37763,556876,31524,11,1104,23393,99926,467608
"G0500090","1870","Arkansas","050","Boone","0090","Boone",7032,601945,42614,451736,3662,40,1550,43601,95411,337883
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley",8646,607980,72033,798778,25,0,120,10467,44136,351714
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun",3853,258884,16776,296079,0,0,0,6694,6079,189715
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll",5780,224617,29921,173324,3048,749,420,29666,42374,223770
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot",7214,1484065,120083,806094,0,100,0,0,256,259446
"G0500190","1870","Arkansas","050","Clark","0190","Clark",11953,620390,68364,1212359,3325,150,330,18118,113771,427393
"G0500270","1870","Arkansas","050","Columbia","0270","Columbia",11397,624595,27114,808931,25,0,0,7087,86382,263776
"G0500290","1870","Arkansas","050","Conway","0290","Conway",8112,1055071,56687,818328,18,0,85,20401,121531,440479
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead",4577,346086,28738,333738,0,0,0,12078,57840,200540
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford",8957,748524,23619,921921,597,0,0,9502,82000,228753
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden",3831,443335,22238,197278,0,0,0,100,33257,154334
"G0500370","1870","Arkansas","050","Cross","0370","Cross",3915,306067,17620,351576,0,0,180,1988,3217,137148
"G0500390","1870","Arkansas","050","Dallas","0390","Dallas",5707,358559,10533,482556,0,100,0,2437,49219,182702
"G0500410","1870","Arkansas","050","Desha","0410","Desha",6125,976504,35412,721345,0,100,0,0,0,288678
"G0500430","1870","Arkansas","050","Drew","0430","Drew",9960,567745,26236,940412,1270,0,32,3430,60243,299734
"G0500470","1870","Arkansas","050","Franklin","0470","Franklin",9627,818329,43818,856233,240,0,25,11582,101620,369607
"G0500490","1870","Arkansas","050","Fulton","0490","Fulton",4843,309397,22148,311437,1782,640,36,17697,47450,175234
"G0500530","1870","Arkansas","050","Grant","0530","Grant",3943,151317,20360,345535,198,4,0,33835,44125,137914
"G0500550","1870","Arkansas","050","Greene","0550","Greene",7573,381480,10005,347819,3724,0,52,21384,61095,172423
"G0500570","1870","Arkansas","050","Hempstead","0570","Hempstead",13768,733528,190397,1336606,0,15,0,0,0,553453
"G0500590","1870","Arkansas","050","Hot Spring","0590","Hot Spring",5877,208837,20830,393645,2161,2762,72,32145,62383,183221
"G0500630","1870","Arkansas","050","Independence","0630","Independence",14566,1236732,79127,1267717,998,150,360,54422,167914,505596
"G0500650","1870","Arkansas","050","Izard","0650","Izard",6806,400145,62100,606577,6872,2951,53,38950,119216,341784
"G0500670","1870","Arkansas","050","Jackson","0670","Jackson",7268,648361,45662,632880,3137,800,2321,1457,33417,228633
"G0500690","1870","Arkansas","050","Jefferson","0690","Jefferson",15733,2460271,112137,2003090,1005,0,0,0,120,576138
"G0500710","1870","Arkansas","050","Johnson","0710","Johnson",9152,912064,23774,813528,1064,0,896,11239,88271,516091
"G0500730","1870","Arkansas","050","Lafayette","0730","Lafayette",9139,1215616,55693,974551,0,100,0,0,21607,350548
"G0500750","1870","Arkansas","050","Lawrence","0750","Lawrence",5981,164890,9050,169390,235,0,40,2636,22547,89362
"G0500810","1870","Arkansas","050","Little River","0810","Little River",3236,289337,11371,483583,0,0,0,0,27060,233624
"G0500870","1870","Arkansas","050","Madison","0870","Madison",8231,623845,34563,481729,7826,0,300,26965,112584,291185
"G0500890","1870","Arkansas","050","Marion","0890","Marion",3979,149545,18305,204441,1424,230,2,17503,31071,105148
"G0500930","1870","Arkansas","050","Mississippi","0930","Mississippi",3633,477166,21356,434210,4430,85,0,25,49964,292647
"G0500950","1870","Arkansas","050","Monroe","0950","Monroe",8336,1266794,43305,1227703,130,0,820,170,61624,299874
"G0500970","1870","Arkansas","050","Montgomery","0970","Montgomery",2984,133835,7065,112074,150,0,0,2570,23887,89857
"G0501010","1870","Arkansas","050","Newton","1010","Newton",4374,226030,7366,163340,1383,0,250,18105,46270,178005
"G0501030","1870","Arkansas","050","Ouachita","1030","Ouachita",12975,837802,70730,1239252,2414,8853,9624,25309,108490,470280
"G0501050","1870","Arkansas","050","Perry","1050","Perry",2685,242765,10215,201283,1270,0,281,4557,30145,114221
"G0501070","1870","Arkansas","050","Phillips","1070","Phillips",15372,1943465,18047,1935109,960,6594,10203,0,13167,445663
"G0501090","1870","Arkansas","050","Pike","1090","Pike",3788,200697,14617,233889,377,0,0,10766,39912,118619
"G0501110","1870","Arkansas","050","Poinsett","1110","Poinsett",1720,100945,4684,105278,45,0,0,1150,12964,52104
"G0501130","1870","Arkansas","050","Polk","1130","Polk",3376,67070,5389,106335,696,0,0,996,19709,68347
"G0501150","1870","Arkansas","050","Pope","1150","Pope",8386,669301,18723,656201,1300,0,60,19786,126893,244538
"G0501170","1870","Arkansas","050","Prairie","1170","Prairie",5604,356045,11541,244320,1040,260,195,1902,12307,125966
"G0501190","1870","Arkansas","050","Pulaski","1190","Pulaski",32066,2633509,105574,2046937,5290,28153,2101,0,131645,687559
"G0501210","1870","Arkansas","050","Randolph","1210","Randolph",7466,448530,31421,430669,1220,230,140,16842,90625,260747
"G0501230","1870","Arkansas","050","St Francis","1230","St Francis",6714,355410,5435,740420,20,0,0,770,60995,241889
"G0501250","1870","Arkansas","050","Saline","1250","Saline",3911,311603,12336,367500,1377,683,0,8898,51167,189464
"G0501270","1870","Arkansas","050","Scott","1270","Scott",7483,394421,17469,809814,553,245,0,22222,95948,305188
"G0501290","1870","Arkansas","050","Searcy","1290","Searcy",5614,309501,12883,315320,2963,175,100,33667,104750,237232
"G0501310","1870","Arkansas","050","Sebastian","1310","Sebastian",12940,1190008,64744,1013071,5444,1300,355,20976,120175,488090
"G0501330","1870","Arkansas","050","Sevier","1330","Sevier",4492,312220,24895,405773,0,0,0,15273,44140,125250
"G0501350","1870","Arkansas","050","Sharp","1350","Sharp",5400,365760,28657,460255,2307,0,2,25381,87314,210038
"G0501390","1870","Arkansas","050","Union","1390","Union",10571,794650,12565,1005653,210,0,180,10223,81763,341279
"G0501410","1870","Arkansas","050","Van Buren","1410","Van Buren",5107,269730,14068,390571,3155,0,0,15935,71660,194556
"G0501430","1870","Arkansas","050","Washington","1430","Washington",17266,2037060,43736,762535,37188,0,1010,36630,176112,573122
"G0501450","1870","Arkansas","050","White","1450","White",10347,532877,52023,900131,3476,0,130,18333,108265,417211
"G0501470","1870","Arkansas","050","Woodruff","1470","Woodruff",6891,529450,59143,609200,7,0,0,2707,74761,152805
"G0501490","1870","Arkansas","050","Yell","1490","Yell",8048,734354,15825,734978,30,0,545,22163,77462,221573
"G0600010","1870","California","060","Alameda","0010","Alameda",24237,16747770,201425,2310062,91826,143190,0,0,62405,1119435
"G0600030","1870","California","060","Alpine","0030","Alpine",685,82800,7790,165490,0,985,0,0,10042,264700
"G0600050","1870","California","060","Amador","0050","Amador",9582,486400,46015,363983,43350,11615,2615,26000,62263,280587
"G0600070","1870","California","060","Butte","0070","Butte",11403,2423300,107345,1445591,36027,52050,2925,104850,63406,851856
"G0600090","1870","California","060","Calaveras","0090","Calaveras",8895,221245,25445,389388,26606,25435,24019,0,46928,401699
"G0600110","1870","California","060","Colusa","0110","Colusa",6165,4408064,143563,2011830,9895,2441,66564,500,579450,1872859
"G0600130","1870","California","060","Contra Costa","0130","Contra Costa",8461,4936635,149019,1421895,15378,3550,250,0,44451,953346
"G0600150","1870","California","060","Del Norte","0150","Del Norte",2022,165950,7895,60617,4280,1065,0,25,12989,65888
"G0600170","1870","California","060","El Dorado","0170","El Dorado",10309,672285,24927,498443,60857,14784,30907,8725,56124,449439
"G0600190","1870","California","060","Fresno","0190","Fresno",6336,629705,33915,229068,750,1000,0,0,114216,680010
"G0600230","1870","California","060","Humboldt","0230","Humboldt",6140,1244775,52428,557212,10397,2170,8365,5373,132936,727660
"G0600270","1870","California","060","Inyo","0270","Inyo",1956,148520,22550,157221,300,1550,0,0,32241,228368
"G0600290","1870","California","060","Kern","0290","Kern",2925,339650,14375,192925,650,1250,0,2300,55800,419125
"G0600315","1870","California","060","Klamath","0315","Klamath",1686,69850,2859,117949,2615,3448,0,0,13333,78755
"G0600330","1870","California","060","Lake","0330","Lake",2969,713100,44931,316928,6382,6603,20,0,67200,314210
"G0600350","1870","California","060","Lassen","0350","Lassen",1327,297800,27780,295385,345,100,0,785,28481,354241
"G0600370","1870","California","060","Los Angeles","0370","Los Angeles",15309,4245885,76123,939859,74090,13095,0,200,45862,1177805
"G0600410","1870","California","060","Marin","0410","Marin",6903,5532313,170665,1625171,13780,1050,17565,0,152667,1398556
"G0600430","1870","California","060","Mariposa","0430","Mariposa",4572,346500,4300,695330,7785,3160,920,4341,28747,239571
"G0600450","1870","California","060","Mendocino","0450","Mendocino",7545,1364643,66832,616373,3925,512,0,0,171256,676257
"G0600470","1870","California","060","Merced","0470","Merced",2807,2324112,72100,754769,9796,4320,1125,7220,889883,1428876
"G0600510","1870","California","060","Mono","0510","Mono",430,84300,13825,88822,0,1880,0,0,17116,107150
"G0600530","1870","California","060","Monterey","0530","Monterey",9876,5150298,230296,1640107,2490,1140,2810,3000,419576,2036652
"G0600550","1870","California","060","Napa","0550","Napa",7163,1998190,41885,509846,41363,9230,9720,64,53668,350160
"G0600570","1870","California","060","Nevada","0570","Nevada",19134,508750,40810,371605,30870,39855,63635,18370,9025,181270
"G0600610","1870","California","060","Placer","0610","Placer",11357,994200,54360,1203275,34077,20745,26795,24990,62213,341770
"G0600630","1870","California","060","Plumas","0630","Plumas",4489,441510,43675,380051,1930,1750,1110,0,103995,542345
"G0600670","1870","California","060","Sacramento","0670","Sacramento",26830,5052160,177250,2674169,165385,74760,10515,12490,78323,1504770
"G0600710","1870","California","060","San Bernardino","0710","San Bernardino",3988,191242,12770,133140,5235,1600,1600,0,6820,151530
"G0600730","1870","California","060","San Diego","0730","San Diego",4951,782662,24737,160920,0,4625,0,0,32645,545277
"G0600750","1870","California","060","San Francisco","0750","San Francisco",149473,5817400,31205,846754,0,136545,0,0,800,280355
"G0600770","1870","California","060","San Joaquin","0770","San Joaquin",21050,7874365,545146,4376675,22475,10300,45825,2000,189435,1692119
"G0600790","1870","California","060","San Luis Obispo","0790","San Luis Obispo",4772,1869673,32196,767715,760,0,0,0,296596,1559818
"G0600810","1870","California","060","San Mateo","0810","San Mateo",6635,3397701,113407,1190793,1350,98810,37470,0,101606,745543
"G0600830","1870","California","060","Santa Barbara","0830","Santa Barbara",7784,5323963,103805,847902,4839,6430,10480,15830,103720,947840
"G0600850","1870","California","060","Santa Clara","0850","Santa Clara",26246,12022722,380902,2760125,69746,109640,35130,9845,364852,1487076
"G0600870","1870","California","060","Santa Cruz","0870","Santa Cruz",8743,1870800,36960,381195,14420,5025,2825,250,50095,319375
"G0600890","1870","California","060","Shasta","0890","Shasta",4173,324973,31780,299628,20648,16055,0,155,55542,206119
"G0600910","1870","California","060","Sierra","0910","Sierra",5619,170950,15075,189230,1800,11550,0,0,3629,116285
"G0600930","1870","California","060","Siskiyou","0930","Siskiyou",6848,724755,69246,567573,13525,12300,0,300,115955,880365
"G0600950","1870","California","060","Solano","0950","Solano",16871,10170758,466910,3170535,125030,6665,0,50,149543,1532995
"G0600970","1870","California","060","Sonoma","0970","Sonoma",19819,10079184,429579,2509718,151804,8634,88639,24600,335238,2178996
"G0600990","1870","California","060","Stanislaus","0990","Stanislaus",6499,4302840,368542,2718036,7450,3175,3825,1200,190096,1382943
"G0601010","1870","California","060","Sutter","1010","Sutter",5030,2072288,118981,918417,10365,6865,21316,100,54501,611798
"G0601030","1870","California","060","Tehama","1030","Tehama",3587,1353815,78340,880234,11220,72900,7400,0,193245,908047
"G0601050","1870","California","060","Trinity","1050","Trinity",3213,78550,9550,88325,7550,7000,0,200,11101,64478
"G0601070","1870","California","060","Tulare","1070","Tulare",4533,812900,81605,818910,11500,410,0,0,198550,1164817
"G0601090","1870","California","060","Tuolumne","1090","Tuolumne",8150,296365,17640,268256,35025,5530,10400,25275,12805,284195
"G0601130","1870","California","060","Yolo","1130","Yolo",9899,8720586,294942,3022355,47479,72579,24095,1700,108931,1283494
"G0601150","1870","California","060","Yuba","1150","Yuba",10851,1350827,148989,906224,127110,20408,7152,753,122202,573927
"G0850015","1870","Colorado Territory","085","Arapahoe","0015","Arapahoe",6829,387600,28240,268650,0,23535,0,13660,3875,127150
"G0850035","1870","Colorado Territory","085","Bent","0035","Bent",592,56090,3788,102332,0,0,0,0,0,195158
"G0850055","1870","Colorado Territory","085","Boulder","0055","Boulder",1939,575650,36267,326313,0,0,0,0,11734,281125
"G0850075","1870","Colorado Territory","085","Clear Creek","0075","Clear Creek",1596,0,0,0,0,0,0,0,0,0
"G0850095","1870","Colorado Territory","085","Conejos","0095","Conejos",2504,125032,17780,96471,9,0,0,2663,15383,230207
"G0850115","1870","Colorado Territory","085","Costilla","0115","Costilla",1779,90819,13747,69548,0,0,0,1328,15243,148537
"G0850135","1870","Colorado Territory","085","Douglas","0135","Douglas",1388,137780,20007,166591,0,0,0,0,13801,323903
"G0850155","1870","Colorado Territory","085","El Paso","0155","El Paso",987,147380,11135,69795,0,0,0,9957,9125,125935
"G0850175","1870","Colorado Territory","085","Fremont","0175","Fremont",1064,79050,6215,48160,0,0,0,2730,9730,71104
"G0850195","1870","Colorado Territory","085","Gilpin","0195","Gilpin",5490,99200,3805,37975,0,2000,0,0,804,10150
"G0850215","1870","Colorado Territory","085","Greenwood","0215","Greenwood",510,0,0,0,0,0,0,0,0,0
"G0850235","1870","Colorado Territory","085","Huerfano","0235","Huerfano",2250,197385,4783,91422,0,0,0,0,0,173604
"G0850255","1870","Colorado Territory","085","Jefferson","0255","Jefferson",2390,342675,27680,263725,0,28685,0,18420,12605,147295
"G0850275","1870","Colorado Territory","085","Lake","0275","Lake",522,19375,5250,35495,0,500,0,0,4285,47673
"G0850295","1870","Colorado Territory","085","Larimer","0295","Larimer",838,226970,17475,176649,0,300,0,0,4791,240430
"G0850315","1870","Colorado Territory","085","Las Animas","0315","Las Animas",4276,24662,3040,39183,0,0,0,0,0,31801
"G0850335","1870","Colorado Territory","085","Park","0335","Park",447,16740,3147,28906,0,0,0,0,4665,45025
"G0850355","1870","Colorado Territory","085","Pueblo","0355","Pueblo",2265,531140,39450,307165,0,0,0,8900,129096,304642
"G0850375","1870","Colorado Territory","085","Saguache","0375","Saguache",304,49620,10710,60055,0,0,0,0,11447,116587
"G0850395","1870","Colorado Territory","085","Summit","0395","Summit",258,0,0,0,0,0,0,0,0,0
"G0850415","1870","Colorado Territory","085","Weld","0415","Weld",1636,278580,20085,146671,0,0,0,0,5810,250776
"G0900010","1870","Connecticut","090","Fairfield","0010","Fairfield",95276,25038720,382866,3891312,96039,263982,112137,12000,854181,2670137
"G0900030","1870","Connecticut","090","Hartford","0030","Hartford",109007,28289158,730565,6220911,173863,78239,251842,4204,763938,3259387
"G0900050","1870","Connecticut","090","Litchfield","0050","Litchfield",48727,19344296,591403,4456676,91582,3625,106268,2477,960662,3484593
"G0900070","1870","Connecticut","090","Middlesex","0070","Middlesex",36099,6932828,221651,1504256,25432,18398,97047,3999,225699,1040838
"G0900090","1870","Connecticut","090","New Haven","0090","New Haven",121257,17256348,428179,3614178,61726,161245,183949,1551,634160,2284658
"G0900110","1870","Connecticut","090","New London","0110","New London",66570,12878346,352273,2895417,31027,45405,168076,6546,631822,2144279
"G0900130","1870","Connecticut","090","Tolland","0130","Tolland",22000,6308423,246322,1654198,23035,11224,153730,7308,306230,1112221
"G0900150","1870","Connecticut","090","Windham","0150","Windham",38518,8193266,293340,2245202,33250,17600,151058,15212,505166,1548925
"G0950075","1870","Dakota Territory","095","Bon Homme","0075","Bon Homme",608,136200,3700,11125,0,0,0,0,0,21975
"G0950135","1870","Dakota Territory","095","Brookings","0135","Brookings",163,6800,240,825,0,0,0,0,0,6546
"G0950195","1870","Dakota Territory","095","Buffalo","0195","Buffalo",246,3400,500,1600,0,0,500,0,0,3600
"G0950295","1870","Dakota Territory","095","Charles Mix","0295","Charles Mix",152,28050,3575,19375,0,0,200,0,0,22250
"G0950355","1870","Dakota Territory","095","Clay","0355","Clay",2621,603310,40271,184203,0,0,0,250,8516,200201
"G0950495","1870","Dakota Territory","095","Deuel","0495","Deuel",37,1650,160,121,0,0,0,0,0,2040
"G0950815","1870","Dakota Territory","095","Hutchinson","0815","Hutchinson",37,7200,800,0,0,0,0,0,0,1735
"G0950855","1870","Dakota Territory","095","Jayne","0855","Jayne",5,0,0,0,0,0,0,0,0,0
"G0950975","1870","Dakota Territory","095","Lincoln","0975","Lincoln",712,85100,6740,12591,0,0,0,0,500,59350
"G0951195","1870","Dakota Territory","095","Minnehaha","1195","Minnehaha",355,20540,2785,2275,0,0,0,0,0,27710
"G0951275","1870","Dakota Territory","095","Pembina","1275","Pembina",1213,10600,2300,3540,0,0,0,0,0,13410
"G0951655","1870","Dakota Territory","095","Todd","1655","Todd",337,0,0,0,0,0,0,0,0,0
"G0951735","1870","Dakota Territory","095","Union","1735","Union",3507,880515,64295,162882,0,0,0,0,540,337858
"G0951755","1870","Dakota Territory","095","Unorganized Territory","1755","Unorganized Territory",2091,,,,,,,,,
"G0951855","1870","Dakota Territory","095","Yankton","1855","Yankton",2097,301900,17246,97120,0,500,0,1427,12510,83277
"G1000010","1870","Delaware","100","Kent","0010","Kent",29804,13167760,348184,2322817,489283,103711,17086,15330,254880,1184690
"G1000030","1870","Delaware","100","New Castle","0030","New Castle",63515,24573080,657012,4004098,634518,81442,3729,1750,527688,2074132
"G1000050","1870","Delaware","100","Sussex","0050","Sussex",31696,8972032,196448,1844752,103092,12922,90995,15990,214835,998501
"G1100010","1870","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",131700,3800230,39450,319517,6781,112034,0,750,455,114916
"G1200010","1870","Florida","120","Alachua","0010","Alachua",17328,1550079,47408,624622,0,0,0,0,6430,394890
"G1200030","1870","Florida","120","Baker","0030","Baker",1325,37640,1885,30354,100,0,0,0,100,40880
"G1200070","1870","Florida","120","Bradford","0070","Bradford",3671,133632,7710,116016,0,55,0,0,0,106467
"G1200090","1870","Florida","120","Brevard","0090","Brevard",1216,21000,3895,153260,7545,0,0,0,48120,386950
"G1200130","1870","Florida","120","Calhoun","0130","Calhoun",998,51970,6059,87050,1427,40,1446,4508,340,46458
"G1200190","1870","Florida","120","Clay","0190","Clay",2098,70418,1858,34844,144,50,0,11,0,41082
"G1200230","1870","Florida","120","Columbia","0230","Columbia",7335,423945,24663,369710,227,2800,5825,2984,59814,209597
"G1200250","1870","Florida","120","Dade","0250","Dade",85,,,,,,,,,
"G1200310","1870","Florida","120","Duval","0310","Duval",11921,647881,13078,122010,9208,12515,0,0,300,155517
"G1200330","1870","Florida","120","Escambia","0330","Escambia",7817,47725,3870,51250,2060,3815,0,0,10295,71520
"G1200370","1870","Florida","120","Franklin","0370","Franklin",1256,4260,630,4795,300,755,0,210,1300,4210
"G1200390","1870","Florida","120","Gadsden","0390","Gadsden",9802,601481,45097,599635,0,15,0,3910,55347,212454
"G1200470","1870","Florida","120","Hamilton","0470","Hamilton",5749,256150,845,263345,0,0,0,1950,24910,89008
"G1200530","1870","Florida","120","Hernando","0530","Hernando",2938,210252,7546,500554,75,0,0,160,31895,309810
