GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG1001,AG1002,AG1003,AG1004,AG1005,AG1006,AG1007,AG1008,AG1009,AG1010,AG1011,AG1012,AG1013,AG1014,AG1015,AG1016,AG1017,AG1018,AG1019,AG1020,AG1021,AG1022,AG1023,AG1024,AG1025,AG1026,AG1027,AG1028,AG1029,AG1030,AG1031,AG1032,AG1033
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",10307,2152,257380,2392,540,95,831792,2212,44244,2543,60926,143,128,312,9067,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,3570
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",29,85,60337,0,158,35,104256,1304,1651,613,16310,0,0,29,1693,25,5422,0,0,0,0,0,0,0,0,0,0,0,0,22,0,93,1010
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",6121,1220,418588,5347,972,18,2136864,2057,61861,1741,131448,238,30,197,10121,4,166,0,0,0,0,0,0,0,0,0,0,0,0,3785,29,875,5740
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",15701,574,189120,2429,8,223,398544,2207,29469,1796,41702,59,161,3,6584,0,9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,4575
"G0100090","1860","Alabama","010","Blount","0090","Blount",35992,235,135563,2443,2,1979,51408,1342,9902,2582,19176,60,34,0,8507,1,96,15,19,1,0,0,0,0,6,0,0,0,0,1108,0,216,1200
"G0100130","1860","Alabama","010","Butler","0130","Butler",1126,303,219098,1916,98,31,647472,2061,19192,214,59708,0,0,4,7681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,348,2225
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",105503,502,301389,9537,9,431,555504,2706,12051,2335,43608,87,0,2,15522,3,569,0,17,2,0,0,0,0,0,0,0,0,0,1050,2745,244,2794
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",80438,1650,364994,15251,25,6,1180272,1953,18643,4448,84850,71,0,79,18558,42,18,0,0,0,0,0,0,0,0,0,0,0,0,27,0,599,8917
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",92858,709,277940,11009,7,2106,506976,3083,14707,3576,38315,33,0,66,12715,61,447,0,8,0,0,0,0,0,35,0,0,0,0,256,0,212,1845
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",451,751,204831,938,167,6,828096,1251,18161,2282,49347,23,16,152,4979,0,8856,0,64,0,0,0,0,0,0,0,0,0,0,26,0,227,2611
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",71,550,237523,695,237,1418,778800,2410,13790,1994,72587,0,0,12,5605,0,7376,0,19,0,0,0,0,0,0,0,0,0,0,235,0,1730,9882
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",544,54,118598,853,40,21,254112,593,24193,330,37611,35,0,3,3237,40,0,0,0,0,0,0,0,0,0,0,0,0,0,951,0,161,1203
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",839,527,139201,1193,362,295,328800,1821,10311,822,34738,8,0,79,3833,20,184,0,0,2,0,0,0,0,0,0,0,81,0,257,182,682,3797
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",32721,851,254347,6524,232,167,671520,2123,43848,6002,75981,309,0,65,10167,105,788,0,3,1,0,0,0,0,0,0,0,0,0,34,0,996,6543
"G0100390","1860","Alabama","010","Covington","0390","Covington",357,176,68299,399,460,129,97008,1671,5666,97,26620,7,0,0,2831,20,0,0,0,0,0,0,0,0,0,0,0,12188,0,718,139,428,2225
"G0100450","1860","Alabama","010","Dale","0450","Dale",1304,501,156970,3269,840,199,376128,2270,6525,680,52382,0,0,0,4903,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4716,0,474,2501
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",9058,2015,622362,3569,503,182,3043680,3440,28290,3169,89241,61,0,671,11341,0,42390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,3003
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",50425,669,207497,7079,1,2400,71904,2834,5833,4169,23536,8,0,0,7606,56,2076,25,83,0,0,0,0,0,0,0,0,0,0,0,13892,222,1495
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",30073,225,155734,371,5,374,262176,3349,20943,1047,30769,17,8,3,10689,0,17257,0,0,0,0,0,0,0,0,0,0,0,0,517,191,661,4384
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",22198,2906,351885,5465,9,612,748416,3941,13213,5180,24994,10,0,34,14098,13,596,50,56,0,0,0,0,0,0,0,1,0,0,0,1188,167,2078
"G0100630","1860","Alabama","010","Greene","0630","Greene",22474,2098,603306,6033,4,2,2777184,4962,44247,4151,93345,81,0,305,12576,0,24116,120,667,0,0,0,0,0,0,0,0,0,0,0,0,457,2352
"G0100670","1860","Alabama","010","Henry","0670","Henry",1826,1040,193944,1442,210,24,625632,1275,43019,1193,66252,9,0,64,5448,4,35,0,0,0,0,0,0,0,0,0,0,81,0,6452,0,482,4631
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",26987,607,483329,2893,0,919,130224,3658,8955,5450,22601,117,0,3,11779,36,1358,25,114,0,0,0,0,0,6,0,11,3575,0,564,0,984,6479
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",52053,206,269921,948,0,827,237120,2284,19276,2650,25438,0,0,0,12238,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,3062
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",39526,2563,297437,10393,2,317,530400,3124,11214,5190,17401,0,3,41,8539,5,20840,35,234,1,0,0,0,0,0,0,0,0,0,0,4330,126,1262
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",18173,3160,303446,4522,0,22,740832,2251,12252,3521,14384,39,0,0,7134,0,21751,40,0,0,0,0,0,0,0,0,0,1625,0,0,569,162,1214
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",20723,3098,269461,3249,1,393,725520,2396,6174,3749,12698,8,0,30,7761,6,28225,0,0,3,0,0,0,2,23,3761,0,0,0,0,870,200,947
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",9278,1204,592812,15341,388,3,2575872,2939,18080,4978,83823,151,0,84,10502,0,48522,0,0,0,0,0,0,0,0,0,0,0,0,67,0,662,4328
"G0100870","1860","Alabama","010","Macon","0870","Macon",24203,1293,447453,9270,147,5,1973712,999,60489,4401,115973,86,0,242,12884,0,22881,20,56,0,0,0,0,0,0,0,0,0,0,214,0,239,13908
"G0100890","1860","Alabama","010","Madison","0890","Madison",44485,5964,454662,15160,6,604,1061712,3011,24524,7817,33421,0,0,132,14119,2,49415,0,245,1,0,0,0,1,0,0,5,0,0,64,5095,569,3351
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",4585,1219,636923,4750,735,18,2996544,4127,16750,2225,100241,61,78,35,13515,7,21821,25,36,1,0,0,0,0,0,0,0,0,0,11,0,972,4272
"G0100930","1860","Alabama","010","Marion","0930","Marion",25728,921,165148,665,48,1166,205680,2434,20149,1849,25716,17,0,17,13969,26,9005,0,0,0,0,0,0,0,0,0,0,0,0,0,2351,511,3641
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",20838,661,212725,2305,3,340,236688,1947,4493,3345,20775,0,0,0,8220,5,2523,276,22,0,0,0,0,0,0,0,0,0,0,0,8134,192,1692
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",0,0,32390,791,1356,3,21120,1561,3471,5599,5223,0,10,157,1001,16,9075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,933
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",283,308,228369,278,188,4,874848,1654,16955,1316,56648,0,0,40,4272,2,140,0,56,1,0,0,0,0,0,0,0,0,0,153,0,1046,4367
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",6443,972,729781,11382,117,43,2826240,3321,23510,4380,11229,658,91,89,13595,16,4108,0,3,0,0,0,0,0,0,0,0,0,0,22,0,275,1599
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",16565,1095,206011,2341,33,643,303648,2465,10871,3674,17609,1597,0,65,8317,4,8769,5,6,1,0,0,0,0,0,0,0,0,0,1479,0,319,1987
"G0101050","1860","Alabama","010","Perry","1050","Perry",12791,779,494158,5521,199,54,2140944,3082,11909,1649,85990,478,6,148,12361,0,420,0,28,0,0,0,0,0,0,0,0,0,0,0,0,866,5390
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",37645,982,406745,436,0,0,1432464,2987,30638,1699,79778,9,8,96,13073,0,12308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,4679
"G0101090","1860","Alabama","010","Pike","1090","Pike",3216,739,378926,4488,583,17,1177296,1571,58030,1533,116678,8,0,3,10792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,194,548,6122
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",64342,584,257661,8491,70,1655,308496,3001,17559,2658,55105,148,76,20,18457,13,9,0,0,1,0,0,0,1,1,0,0,0,0,154,0,842,4598
"G0101130","1860","Alabama","010","Russell","1130","Russell",19289,508,357399,7510,96,115,1858944,1352,50634,3114,109105,68,1,270,11530,0,66094,0,0,73,0,0,0,0,0,0,0,0,0,505,513,338,3152
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",39433,355,170902,1460,0,884,201072,1756,5125,2051,22044,0,0,0,11963,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,709,315,1519
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",38197,988,174184,4030,7,232,310224,1486,11054,3975,27318,41,18,12,9707,0,17187,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3770,2775
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",8978,1497,458385,3559,34,0,1756032,3639,31170,3847,58828,206,1,315,9581,10,1139,376,0,0,0,0,0,0,0,0,0,0,0,0,115,408,2815
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",83190,1898,347380,21788,1,232,875664,2279,19760,4430,43178,1962,0,6,15597,0,289,0,0,0,0,0,0,0,6,0,0,0,0,0,428,209,1174
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",60212,434,292201,3684,11,256,835152,2680,33919,1748,60069,18,0,8,10971,0,23853,0,0,0,0,0,0,0,0,0,0,0,0,0,358,768,8452
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",25967,2325,395567,8323,856,175,1249680,3434,32094,4727,72130,60,27,375,23635,18,42206,10,0,0,0,0,0,0,0,0,4,894,0,0,326,1541,7815
"G0101270","1860","Alabama","010","Walker","1270","Walker",12327,535,114666,357,2,597,132768,1420,12040,905,18439,21,3,0,3861,7,9,0,0,0,0,0,0,2,0,0,0,0,0,0,1214,297,1821
"G0101290","1860","Alabama","010","Washington","1290","Washington",0,0,61063,0,0,0,165552,364,562,0,20176,0,0,647,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",3344,560,465225,3292,1660,0,2339952,2925,14664,3470,98931,1755,0,200,9077,4,12606,200,0,0,0,0,0,0,0,0,0,0,0,109,0,852,4675
"G0101330","1860","Alabama","010","Winston","1330","Winston",3600,546,40852,164,16,687,16896,510,5806,1252,7243,12,1,0,1370,2,0,0,17,0,0,0,0,1,2,0,0,0,0,0,2082,83,457
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas",1380,82,167731,622,0,49,968544,545,12037,4101,21576,0,0,0,6680,9,12045,0,14,0,0,0,0,0,0,0,0,0,0,0,21,105,1507
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley",2217,133,129977,809,0,5,452880,815,15727,3039,32589,0,0,14,6918,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,33,70,506
"G0500070","1860","Arkansas","050","Benton","0070","Benton",78327,4894,196188,12053,0,3395,0,3087,107,4017,5010,0,57,0,6407,21,1515,0,1073,5,0,0,5025,9,2,0,0,0,0,0,8597,69,913
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley",17162,511,139919,1234,19,199,380208,1647,27570,2601,37155,6,0,4,10266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,264,1669
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun",1877,32,64159,368,0,6,176256,790,725,574,11190,0,0,0,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,98,957
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll",53825,15369,244568,13474,0,2498,336,3355,67,4466,7025,0,0,0,13213,6,149,0,170,0,0,0,0,18,62,12,4,0,0,0,14227,183,5822
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot",51,0,151773,0,209,0,1965504,846,3382,4229,20676,0,0,0,3321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,422
"G0500190","1860","Arkansas","050","Clark","0190","Clark",8573,169,165967,831,8,205,345744,1359,6836,2520,23032,17,0,0,3478,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,393,2847
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia",26706,1497,209926,3951,13,144,667728,1962,30897,2600,56050,29,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,49,229
"G0500290","1860","Arkansas","050","Conway","0290","Conway",11876,667,121955,1312,0,3143,152688,1571,4120,3196,8118,0,0,0,3727,17,473,0,28,0,0,0,0,1,0,0,0,0,0,0,251,221,1543
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead",3774,69,42033,368,0,121,15264,344,511,828,3487,0,0,0,1530,2,0,0,6,0,0,0,0,2,2,0,0,0,0,0,1247,113,1100
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford",22901,370,109655,4080,0,184,9504,985,212,2669,6196,487,0,6,3056,33,2672,0,39,0,0,0,0,1,0,0,0,0,0,0,359,177,1496
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden",1821,19,97382,51,0,0,224400,84,1353,1896,3447,116,65,4,2169,0,981,25,11,0,0,0,0,0,0,0,0,0,0,0,0,70,407
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas",16572,1033,132338,659,0,30,442992,1077,6325,1109,28799,0,0,0,5279,0,8471,0,31,0,0,0,0,2,1,0,0,0,0,0,34,354,2075
"G0500410","1860","Arkansas","050","Desha","0410","Desha",1113,0,110365,111,0,0,588528,414,7158,2063,11530,0,0,0,4679,0,1042,0,167,0,0,0,0,0,0,0,0,0,0,0,0,106,545
"G0500430","1860","Arkansas","050","Drew","0430","Drew",11709,963,145952,698,24,697,441792,1004,15946,2740,36111,32,27,5,7168,10,18,0,289,2,0,0,0,0,0,0,0,0,0,0,198,64,597
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin",23620,1039,184918,4846,0,820,121344,1722,4606,5072,8045,26,30,0,9338,17,1165,0,211,0,0,0,0,0,0,0,0,0,0,0,847,345,5984
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton",20237,373,107772,1499,0,3758,144,1142,2140,2223,3554,0,3,0,4188,44,70,0,36,0,0,0,0,20,28,0,0,0,0,0,6747,69,818
"G0500550","1860","Arkansas","050","Greene","0550","Greene",12274,72,132061,312,6,13029,13200,1032,964,2782,9120,0,0,1,5521,13,0,0,125,0,0,0,0,0,0,48,12,0,3,0,6899,208,1532
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead",20332,1275,259023,6684,1,92,794304,2731,19320,3434,29376,2,0,0,9164,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,2428
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring",17424,536,125297,1889,2,1306,86064,1108,9854,2179,15971,0,1,0,9346,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,180,149,1156
"G0500630","1860","Arkansas","050","Independence","0630","Independence",53703,969,278056,7809,0,7739,101760,3538,4523,6282,14064,1,12,8,16881,27,3811,185,133,0,0,0,0,27,2,0,4,0,0,0,4401,626,4994
"G0500650","1860","Arkansas","050","Izard","0650","Izard",30051,1092,167933,4412,0,17980,8832,1843,1291,2601,6449,23,0,0,6765,70,850,0,3,0,0,0,67,13,3,0,0,0,0,0,5818,266,1860
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson",1371,162,152796,279,0,1,503184,110,386,990,2400,0,0,0,361,7,272,0,6,0,0,0,0,0,0,0,0,0,0,0,0,51,49
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson",3431,121,225752,539,69,236,1372128,1643,10116,5234,25608,0,0,18,6771,4,3924,0,214,1,0,0,0,1,1,0,0,0,0,0,52,170,1914
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson",23666,831,178155,7262,0,2728,74880,1857,2565,4268,8785,175,0,0,9590,6,499,0,61,0,0,0,0,10,2,0,0,0,0,0,2385,847,8366
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette",3120,83,142798,252,2,23,847344,435,1938,981,15650,0,0,0,4180,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,377
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence",37374,198,220922,3207,0,2475,36960,3205,39,1608,6689,0,0,0,13159,43,762,0,0,0,0,0,0,0,0,0,0,0,0,0,4672,11,1039
"G0500870","1860","Arkansas","050","Madison","0870","Madison",33699,3464,202245,5246,0,3588,48,2581,1438,4825,3967,44,0,0,8090,30,1463,0,111,0,0,0,13400,62,29,0,172,0,97,0,6352,986,8556
"G0500890","1860","Arkansas","050","Marion","0890","Marion",37236,2360,134393,4701,0,3237,1011024,1582,2799,2860,1872,145,0,0,9861,48,578,0,434,0,0,0,0,10,0,0,18,0,0,0,5369,258,1541
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi",107,92,129927,0,0,45,59712,157,858,2369,3158,0,5,0,6848,2,3425,0,0,0,0,0,0,0,0,0,0,0,0,0,332,603,4845
"G0500950","1860","Arkansas","050","Monroe","0950","Monroe",1475,0,87394,109,0,112,342576,185,7388,2156,10711,0,0,8,2975,0,79,0,14,1,67,0,0,0,0,0,0,0,0,0,0,28,200
"G0500970","1860","Arkansas","050","Montgomery","0970","Montgomery",9285,158,82635,1747,0,772,14496,896,1206,1797,6199,9,2,0,3285,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,670,653,1753
"G0501010","1860","Arkansas","050","Newton","1010","Newton",8890,1079,88852,2057,0,1571,288,892,172,1255,1704,29,0,0,2645,3,228,0,0,0,0,0,0,14,8,0,54,0,0,0,2549,601,4065
"G0501030","1860","Arkansas","050","Ouachita","1030","Ouachita",7484,464,192688,1297,5,1,493248,803,7518,751,17231,0,0,0,2188,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349
"G0501050","1860","Arkansas","050","Perry","1050","Perry",3778,65,40616,854,0,97,61056,385,3790,1483,5047,14,0,0,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,138,906
"G0501070","1860","Arkansas","050","Phillips","1070","Phillips",13843,974,265943,740,0,98,1295664,844,17124,4096,19485,0,0,55,9537,0,2470,150,539,0,0,0,0,0,0,0,0,0,0,0,4,166,2118
"G0501090","1860","Arkansas","050","Pike","1090","Pike",3784,125,67068,593,1,507,44736,1099,228,1107,5835,24,3,0,3279,4,35,0,167,0,0,0,0,0,0,0,0,0,0,0,653,221,2023
"G0501110","1860","Arkansas","050","Poinsett","1110","Poinsett",2362,39,52661,51,0,412,123696,182,3026,1586,7679,0,0,0,3011,14,3565,0,0,0,0,0,0,0,0,0,0,0,0,0,45,177,1688
"G0501130","1860","Arkansas","050","Polk","1130","Polk",7246,182,69248,684,4,1130,4320,792,2575,2419,7245,3,0,0,3404,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,328,2948
"G0501150","1860","Arkansas","050","Pope","1150","Pope",24880,660,166150,2871,0,1568,178704,2215,2792,4202,9617,19,0,0,8557,15,5142,0,25,0,3350,0,0,0,0,0,0,0,0,0,1267,507,4928
"G0501170","1860","Arkansas","050","Prairie","1170","Prairie",9005,551,125306,2551,10,391,311760,790,8906,3304,16938,35,0,0,7729,10,3635,5,1282,0,0,0,0,0,2,0,0,0,0,0,16,182,1754
"G0501190","1860","Arkansas","050","Pulaski","1190","Pulaski",4298,315,177427,1449,0,351,535536,1313,2575,5675,15593,0,0,0,10441,30,3933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,451
"G0501210","1860","Arkansas","050","Randolph","1210","Randolph",14803,113,139249,865,0,4134,32016,1340,638,1198,1952,0,0,0,1580,1,158,10,14,1,0,0,0,2,1,0,9,0,0,0,579,9,98
"G0501230","1860","Arkansas","050","St Francis","1230","St Francis",12039,397,165461,883,0,942,445200,816,11170,4168,17629,87,6,0,5356,9,1542,5,436,0,0,0,0,0,0,0,0,0,0,0,0,1175,1925
"G0501250","1860","Arkansas","050","Saline","1250","Saline",19342,320,138602,928,0,566,122976,872,2288,1446,19671,0,0,0,4577,8,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,3368
"G0501270","1860","Arkansas","050","Scott","1270","Scott",13765,852,110773,2792,0,226,19200,912,482,1339,6258,75,0,0,3575,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,70,182,2454
"G0501290","1860","Arkansas","050","Searcy","1290","Searcy",17330,1376,135293,3217,5,374,432,1547,140,1873,3624,60,10,0,3808,0,9,0,28,0,0,0,0,0,0,0,0,0,0,0,3421,472,3384
"G0501310","1860","Arkansas","050","Sebastian","1310","Sebastian",28454,762,114327,2765,0,592,6528,883,234,2729,6624,0,0,0,6035,27,184,0,0,0,0,0,0,0,0,0,0,0,0,0,714,36,635
"G0501330","1860","Arkansas","050","Sevier","1330","Sevier",20316,800,198255,3916,0,699,523056,1901,5524,2676,24102,207,2,0,7902,34,307,0,128,0,0,0,0,0,0,0,0,0,0,0,739,573,3128
"G0501390","1860","Arkansas","050","Union","1390","Union",5461,6647,208174,3363,0,5,828528,3066,29656,3146,50885,9,39,158,7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,3888
"G0501410","1860","Arkansas","050","Van Buren","1410","Van Buren",8498,440,126083,1614,0,465,10560,1037,2032,2573,3056,0,0,0,5217,12,79,0,0,0,0,0,0,2,1,0,0,0,0,0,930,271,1946
"G0501430","1860","Arkansas","050","Washington","1430","Washington",125097,4954,305228,28950,3,3881,720,4193,389,6671,6065,141,4,0,10774,26,15602,70,2822,2,0,0,0,31,480,0,4,0,8,0,10503,346,5072
"G0501450","1860","Arkansas","050","White","1450","White",24596,256,138047,3685,7,1470,195408,1018,12222,3668,11829,17,0,0,11012,0,96,0,72,2,0,6030,2010,0,0,0,0,0,0,0,312,111,277
"G0501490","1860","Arkansas","050","Yell","1490","Yell",13194,128,131436,4053,0,1003,180864,1314,3662,2988,10264,0,0,0,8138,22,324,0,72,0,0,0,0,3,1,0,0,0,0,0,498,419,3498
"G0600010","1860","California","060","Alameda","0010","Alameda",698743,4705,7797,85192,23,0,0,51252,10016,55216,483,480249,5130,2251,6723,1075,120888,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600050","1860","California","060","Amador","0050","Amador",42936,169,12282,173,0,0,0,3717,488,5495,134,24116,1004,24,3549,77,50449,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600070","1860","California","060","Butte","0070","Butte",132659,1186,4308,1615,0,0,0,16632,274,4866,384,62099,104,644,1405,53,61863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600090","1860","California","060","Calaveras","0090","Calaveras",10446,8,305,162,0,0,0,1860,428,2378,0,21558,52,78,4050,264,48285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"G0600110","1860","California","060","Colusa","0110","Colusa",101235,246,1819,51,0,0,0,12042,0,0,1248,61677,0,0,6384,91,53427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600130","1860","California","060","Contra Costa","0130","Contra Costa",415294,31,1676,18439,0,0,0,13339,2586,3827,1207,130993,1592,708,12418,8623,79725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"G0600150","1860","California","060","Del Norte","0150","Del Norte",19498,0,173,9818,0,0,0,0,7734,9567,0,1543,307,0,1571,12,4345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600170","1860","California","060","El Dorado","0170","El Dorado",10701,177,180,139,0,0,0,203,117,3936,0,6895,10,1810,5483,102,41689,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600190","1860","California","060","Fresno","0190","Fresno",5044,0,1472,0,0,0,0,0,73,381,370,12777,0,0,209,0,7043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"G0600230","1860","California","060","Humboldt","0230","Humboldt",25881,8,46,5992,0,0,0,0,14326,19297,0,684,17,0,2831,334,7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"G0600315","1860","California","060","Klamath","0315","Klamath",14561,154,1014,4888,0,0,0,0,296,4020,0,0,0,0,286,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"G0600370","1860","California","060","Los Angeles","0370","Los Angeles",56300,73,39105,145,0,0,0,37776,1799,5563,9216,26944,0,45634,1355,28,21690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600410","1860","California","060","Marin","0410","Marin",42566,0,735,39522,0,0,0,3208,1369,112445,883,17151,80,0,28452,7875,20665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"G0600430","1860","California","060","Mariposa","0430","Mariposa",2879,0,92,111,0,0,0,0,3,19,504,2894,0,2996,1866,108,26420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600450","1860","California","060","Mendocino","0450","Mendocino",34440,1605,10000,6023,0,0,0,3383,698,6680,0,9959,70,0,4568,1056,28531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600470","1860","California","060","Merced","0470","Merced",42565,0,8275,170,0,0,0,5130,847,468,230,27346,26,0,1308,108,15356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
"G0600530","1860","California","060","Monterey","0530","Monterey",123227,0,6104,15667,0,0,0,87330,31354,16716,0,89473,592,196,7452,3852,56782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600550","1860","California","060","Napa","0550","Napa",603203,1810,13027,5508,0,0,0,5650,190,1647,0,40894,369,2449,7289,959,75485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,90
"G0600570","1860","California","060","Nevada","0570","Nevada",5314,46,439,54,0,0,0,0,98,2616,0,1386,0,0,1714,30,19544,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600610","1860","California","060","Placer","0610","Placer",84091,635,104,207,0,0,0,5639,147,928,89,25107,1,202,2493,250,44369,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600630","1860","California","060","Plumas","0630","Plumas",10328,0,5,9462,0,0,0,0,0,6227,0,2042,0,0,7727,0,128641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0600670","1860","California","060","Sacramento","0670","Sacramento",309625,6828,10060,8005,0,225,0,12061,3697,112932,52145,298535,1516,1274,19912,4270,286470,25,0,0,0,0,0,0,0,0,0,0,0,0,0,28,732
"G0600710","1860","California","060","San Bernardino","0710","San Bernardino",8398,678,7620,55,0,0,0,720,72,788,0,5752,4,2386,3549,483,4818,35,0,1,0,0,0,0,0,0,0,0,0,0,185,0,0
"G0600730","1860","California","060","San Diego","0730","San Diego",8869,0,1058,34,0,0,0,927,150,70,19,9773,0,20,581,312,12667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
